season,day,female count
1981,37,2
1981,38,2
1981,39,2
1982,36,1
1982,37,2
1982,38,2
1982,40,2
1982,42,2
1983,50,5
1983,51,5
1983,54,8
1983,55,2
1984,32,3
1984,44,2
1984,48,3
1984,49,3
1984,57,7
1984,62,9
1984,63,10
1984,65,10
1984,70,10
1984,76,10
1984,85,3
1985,33,1
1985,49,9
1985,58,15
1985,64,16
1985,76,14
1985,80,11
1986,34,5
1986,39,7
1986,41,7
1986,51,11
1986,56,19
1986,63,15
1986,67,17
1986,69,18
1986,83,6
1986,90,1
1987,37,6
1987,39,7
1987,43,12
1987,50,12
1987,51,15
1987,53,20
1987,57,22
1987,60,20
1987,67,19
1987,69,17
1987,83,7
1987,88,1
1987,97,1
1988,36,6
1988,49,16
1988,60,30
1988,67,28
1988,74,18
1988,80,14
1988,88,8
1989,30,2
1989,32,5
1989,37,13
1989,43,21
1989,48,31
1989,51,34
1989,58,39
1989,65,39
1989,72,26
1989,79,17
1989,86,11
1989,93,5
1989,97,3
1990,20,1
1990,26,3
1990,41,19
1990,46,30
1990,51,39
1990,52,40
1990,55,49
1990,62,52
1990,66,48
1990,71,39
1990,95,5
1990,100,2
1990,110,1
1991,18,1
1991,25,1
1991,28,3
1991,35,11
1991,41,21
1991,42,30
1991,52,61
1991,54,72
1991,59,74
1991,61,79
1991,68,73
1991,69,69
1991,73,53
1991,77,39
1991,80,20
1991,86,14
1991,88,11
1991,98,3
1991,103,7
1992,20,1
1992,26,2
1992,31,13
1992,34,19
1992,47,82
1992,48,86
1992,61,105
1992,62,104
1992,65,105
1992,80,43
1992,94,8
1992,104,1
1993,22,4
1993,24,5
1993,33,38
1993,36,49
1993,50,135
1993,52,133
1993,64,128
1993,65,133
1993,77,65
1993,78,56
1993,94,6
1993,95,4
1993,110,25
1994,17,2
1994,23,7
1994,25,11
1994,26,16
1994,37,76
1994,45,141
1994,71,154
1994,73,127
1994,86,22
1994,88,18
1994,94,9
1995,16,2
1995,23,2
1995,25,8
1995,30,23
1995,46,11
1995,52,137
1995,56,191
1995,58,115
1995,62,16
1995,68,187
1995,76,174
1995,85,54
1995,86,59
1995,91,16
1996,2,4
1996,16,2
1996,19,7
1996,21,8
1996,26,18
1996,32,48
1996,34,51
1996,36,71
1996,39,81
1996,43,154
1996,44,193
1996,47,158
1996,48,179
1996,56,237
1996,59,239
1996,63,208
1996,67,196
1996,90,31
1996,93,15
1997,4,1
1997,6,12
1997,9,3
1997,13,3
1997,16,4
1997,19,8
1997,23,11
1997,24,10
1997,25,20
1997,28,28
1997,33,43
1997,34,59
1997,36,72
1997,37,92
1997,38,101
1997,39,113
1997,40,128
1997,45,179
1997,49,212
1997,58,297
1997,59,301
1997,62,304
1997,63,284
1997,71,229
1997,75,159
1997,84,69
1997,92,4
1997,97,3
1998,11,1
1998,13,8
1998,16,8
1998,18,13
1998,20,9
1998,22,14
1998,26,23
1998,27,20
1998,28,25
1998,30,25
1998,35,61
1998,37,81
1998,39,109
1998,41,137
1998,44,134
1998,50,255
1998,52,285
1998,55,296
1998,58,326
1998,61,160
1998,62,313
1998,65,144
1998,71,86
1998,75,84
1998,77,55
1998,79,61
1998,84,43
1998,86,39
1998,92,29
1998,95,22
1998,99,17
1998,101,7
1998,103,7
1998,105,9
1999,1,4
1999,9,4
1999,10,4
1999,11,3
1999,14,8
1999,16,5
1999,18,3
1999,21,8
1999,23,10
1999,26,14
1999,28,16
1999,30,27
1999,32,36
1999,36,74
1999,38,105
1999,40,140
1999,43,203
1999,45,193
1999,47,209
1999,50,250
1999,52,238
1999,54,309
1999,57,280
1999,59,290
1999,60,308
1999,65,305
1999,66,245
1999,67,198
1999,71,228
1999,73,267
1999,75,127
1999,79,90
1999,81,63
1999,82,58
1999,85,40
1999,87,22
1999,89,18
1999,92,14
1999,94,6
1999,100,4
1999,103,6
1999,107,10
1999,117,34
2000,8,3
2000,10,3
2000,15,6
2000,21,4
2000,28,19
2000,30,19
2000,31,18
2000,37,60
2000,39,68
2000,43,132
2000,46,151
2000,51,241
2000,53,258
2000,56,287
2000,60,300
2000,63,300
2000,65,290
2000,68,238
2000,74,195
2000,77,180
2000,79,153
2000,81,107
2000,83,61
2000,86,59
2000,89,34
2000,93,15
2000,95,8
2000,100,5
2000,115,16
2001,4,3
2001,15,5
2001,18,5
2001,22,5
2001,26,16
2001,29,20
2001,33,46
2001,36,80
2001,40,105
2001,43,107
2001,46,208
2001,50,246
2001,53,248
2001,57,291
2001,60,288
2001,63,307
2001,67,265
2001,75,180
2001,78,146
2001,82,74
2001,85,46
2001,89,18
2001,91,12
2001,96,11
2001,102,10
2001,106,18
2001,110,29
2002,13,2
2002,17,7
2002,21,11
2002,24,17
2002,34,72
2002,38,98
2002,41,129
2002,45,206
2002,48,214
2002,52,273
2002,55,303
2002,62,330
2002,68,257
2002,73,165
2002,76,126
2002,80,92
2002,83,65
2002,87,26
2002,90,12
2002,94,6
2002,101,29
2002,111,12
2003,3,6
2003,11,3
2003,17,2
2003,21,7
2003,24,17
2003,31,41
2003,39,111
2003,42,161
2003,47,253
2003,59,265
2003,62,294
2003,65,290
2003,68,250
2003,73,198
2003,76,122
2003,80,93
2003,83,42
2003,87,27
2003,90,23
2003,94,12
2003,96,5
2004,7,2
2004,17,8
2004,30,48
2004,34,107
2004,37,145
2004,41,212
2004,44,257
2004,48,306
2004,51,338
2004,55,427
2004,59,451
2004,61,398
2004,66,346
2004,69,314
2004,73,303
2004,76,205
2004,80,110
2004,86,48
2004,95,19
2004,100,6
2004,107,18
2005,1,1
2005,15,1
2005,18,6
2005,20,7
2005,24,19
2005,28,31
2005,31,56
2005,36,82
2005,42,135
2005,45,260
2005,49,288
2005,52,287
2005,57,384
2005,60,365
2005,64,328
2005,66,323
2005,71,206
2005,74,199
2005,78,123
2005,80,106
2005,85,40
2005,92,5
2005,106,9
2005,113,3
2006,13,4
2006,16,15
2006,28,27
2006,35,30
2006,37,98
2006,40,137
2006,44,230
2006,48,300
2006,51,318
2006,55,386
2006,58,413
2006,62,379
2006,65,412
2006,69,327
2006,75,213
2006,78,143
2006,83,69
2006,86,48
2006,91,7
2006,98,8
2006,112,2
2007,5,8
2007,8,5
2007,15,3
2007,19,4
2007,24,8
2007,33,39
2007,36,58
2007,39,83
2007,43,218
2007,47,270
2007,50,299
2007,53,361
2007,57,362
2007,60,339
2007,63,361
2007,67,311
2007,75,180
2007,77,187
2007,82,80
2007,85,49
2007,91,17
2007,98,8
2007,105,30
2007,113,21
2007,119,10
2008,7,6
2008,11,2
2008,19,8
2008,24,10
2008,31,22
2008,40,66
2008,45,166
2008,48,218
2008,53,264
2008,59,250
2008,61,263
2008,63,292
2008,66,212
2008,69,222
2008,77,125
2008,82,58
2008,84,48
2008,87,19
2008,90,9
2008,97,4
2008,103,10
2008,110,2
2009,4,2
2009,18,6
2009,23,13
2009,31,36
2009,37,30
2009,45,166
2009,59,317
2009,61,306
2009,65,275
2009,67,182
2009,73,141
2009,80,58
2009,86,17
2009,94,8
2010,8,7
2010,14,3
2010,17,3
2010,22,14
2010,31,62
2010,36,108
2010,39,153
2010,42,173
2010,45,184
2010,50,34
2010,53,66
2010,57,61
2010,59,61
2010,63,68
2010,67,64
2010,70,56
2010,78,33
2010,81,31
2010,84,18
2010,87,6
2010,94,5
2010,100,4
2011,14,4
2011,16,3
2011,22,18
2011,28,42
2011,35,88
2011,37,104
2011,42,186
2011,49,176
2011,51,239
2011,56,212
2011,58,226
2011,63,232
2011,65,194
2011,69,152
2011,72,121
2011,78,51
2011,84,16
2011,86,14
2011,92,2
2011,98,3
2012,15,3
2012,20,14
2012,26,22
2012,34,66
2012,36,92
2012,42,169
2012,44,212
2012,48,237
2012,50,255
2012,55,221
2012,58,243
2012,62,224
2012,64,218
2012,68,169
2012,71,124
2012,76,61
2012,78,51
2012,85,11
2012,90,9
2012,98,6
2013,6,1
2013,12,3
2013,18,5
2013,28,23
2013,34,63
2013,39,116
2013,41,131
2013,46,221
2013,48,238
2013,53,264
2013,55,238
2013,60,275
2013,62,286
2013,67,213
2013,69,201
2013,74,129
2013,76,108
2013,81,44
2013,83,37
2013,87,17
2013,95,5
2014,12,3
2014,17,2
2014,23,24
2014,27,28
2014,31,54
2014,33,70
2014,37,119
2014,40,135
2014,44,193
2014,47,261
2014,52,279
2014,54,292
2014,58,302
2014,61,295
2014,65,268
2014,68,249
2014,72,199
2014,74,176
2014,80,64
2014,82,47
2014,86,28
2014,89,11
2014,96,7
2015,18,7
2015,29,27
2015,37,112
2015,39,108
2015,44,221
2015,46,242
2015,51,267
2015,54,274
2015,58,282
2015,60,287
2015,65,241
2015,72,163
2015,74,156
2015,79,100
2015,81,76
2015,86,40
2015,88,22
2015,94,8
2015,99,3
2016,28,23
2016,36,70
2016,38,44
2016,43,102
2016,45,111
2016,50,128
2016,52,146
2016,57,153
2016,59,171
2016,64,176
2016,66,129
2016,71,139
2016,73,121
2016,78,89
2016,85,33
2016,87,24
2016,94,6
2017,19,3
2017,28,35
2017,36,99
2017,40,109
2017,43,143
2017,48,265
2017,50,259
2017,55,51
2017,57,54
2017,62,57
2017,77,31
2017,84,25
2017,91,8
2017,96,6
2018,21,2
2018,26,18
2018,33,95
2018,42,215
2018,47,234
2018,54,195
2018,57,194
2018,61,208
2018,63,196
2018,68,147
2018,70,137
2018,75,72
2018,77,56
2018,84,23
2018,89,14
2019,59,109
2019,67,104
2019,73,77
2019,81,75
2019,86,58
