Period,DataYear,PeriodCode,Sum.Rain,Sum.Days>1inch,Tot.Lambra,PRH.Lambda,NDB.Lambda,SB.Lambda,Tot.Pups,PRH.cows,NDB.Cows,SB.Cows
Dec16-31,1982,A,5.76,1,1,1,NA,NA,1,1,0,0
Jan1-15,1982,B,10.71,1,1,1,NA,NA,1,1,0,0
Jan16-31,1982,C,3.87,1,1,1,NA,NA,1,1,0,0
Dec16-31,1983,A,2.55,1,2,2,NA,NA,2,2,0,0
Jan1-15,1983,B,0,0,2,2,NA,NA,2,2,0,0
Jan16-31,1983,C,9.64,2,2,2,NA,NA,2,2,0,0
Dec16-31,1984,A,0,0,6,6,NA,NA,12,12,0,0
Jan1-15,1984,B,5.42,1,6,6,NA,NA,12,12,0,0
Jan16-31,1984,C,0.5,0,6,6,NA,NA,12,12,0,0
Dec16-31,1985,A,0.97,0,1.42,1.42,NA,NA,17,17,0,0
Jan1-15,1985,B,1.58,0,1.42,1.42,NA,NA,17,17,0,0
Jan16-31,1985,C,0.19,0,1.42,1.42,NA,NA,17,17,0,0
Dec16-31,1986,A,0.01,0,1,1,NA,NA,17,17,0,0
Jan1-15,1986,B,4.89,2,1,1,NA,NA,17,17,0,0
Jan16-31,1986,C,5.21,2,1,1,NA,NA,17,17,0,0
Dec16-31,1987,A,2.69,1,1.29,1.29,NA,NA,22,22,0,0
Jan1-15,1987,B,3.17,1,1.29,1.29,NA,NA,22,22,0,0
Jan16-31,1987,C,3.63,1,1.29,1.29,NA,NA,22,22,0,0
Dec16-31,1988,A,1.62,0,1.55,1.55,NA,NA,34,34,0,0
Jan1-15,1988,B,7.05,2,1.55,1.55,NA,NA,34,34,0,0
Jan16-31,1988,C,2.56,1,1.55,1.55,NA,NA,34,34,0,0
Dec16-31,1989,A,3.26,1,1.29,1.29,NA,NA,44,44,0,0
Jan1-15,1989,B,1.26,0,1.29,1.29,NA,NA,44,44,0,0
Jan16-31,1989,C,0.88,0,1.29,1.29,NA,NA,44,44,0,0
Dec16-31,1990,A,0.1,0,1.18,1.18,NA,NA,52,52,0,0
Jan1-15,1990,B,2.09,1,1.18,1.18,NA,NA,52,52,0,0
Jan16-31,1990,C,2.92,1,1.18,1.18,NA,NA,52,52,0,0
Dec16-31,1991,A,1.3,1,1.56,1.56,NA,NA,81,81,0,0
Jan1-15,1991,B,0.99,0,1.56,1.56,NA,NA,81,81,0,0
Jan16-31,1991,C,0.01,0,1.56,1.56,NA,NA,81,81,0,0
Dec16-31,1992,A,0,0,1.43,1.43,NA,NA,116,116,0,0
Jan1-15,1992,B,0,0,1.43,1.43,NA,NA,116,116,0,0
Jan16-31,1992,C,0,0,1.43,1.43,NA,NA,116,116,0,0
Dec16-31,1993,A,2.06,0,1.28,1.28,NA,NA,149,149,0,0
Jan1-15,1993,B,5.21,2,1.28,1.28,NA,NA,149,149,0,0
Jan16-31,1993,C,5.19,2,1.28,1.28,NA,NA,149,149,0,0
Dec16-31,1994,A,0,0,1.53,1.53,NA,NA,228,228,0,0
Jan1-15,1994,B,0.68,0,1.53,1.53,NA,NA,228,228,0,0
Jan16-31,1994,C,3.77,0,1.53,1.53,NA,NA,228,228,0,0
Dec16-31,1995,A,1.66,0,1.36,1.29,NA,NA,310,295,10,5
Jan1-15,1995,B,15.43,4,1.36,1.29,NA,NA,310,295,10,5
Jan16-31,1995,C,7.65,3,1.36,1.29,NA,NA,310,295,10,5
Dec16-31,1996,A,4.33,1,0.91,0.89,1.3,1,281,263,13,5
Jan1-15,1996,B,1.46,1,0.91,0.89,1.3,1,281,263,13,5
Jan16-31,1996,C,8.19,3,0.91,0.89,1.3,1,281,263,13,5
Dec16-31,1997,A,8.1,3,1.27,1.37,4.23,2.4,356,359,55,12
Jan1-15,1997,B,4.76,2,1.27,1.37,4.23,2.4,356,359,55,12
Jan16-31,1997,C,6.64,2,1.27,1.37,4.23,2.4,356,359,55,12
Dec16-31,1998,A,0.35,0,1.07,0.81,0.62,0.58,380,290,34,7
Jan1-15,1998,B,10.88,3,1.07,0.81,0.62,0.58,380,290,34,7
Jan16-31,1998,C,5.6,2,1.07,0.81,0.62,0.58,380,290,34,7
Dec16-31,1999,A,0.44,0,1.07,1.03,0.68,1,408,299,23,7
Jan1-15,1999,B,0.91,0,1.07,1.03,0.68,1,408,299,23,7
Jan16-31,1999,C,5.32,1,1.07,1.03,0.68,1,408,299,23,7
Dec16-31,2000,A,0,0,0.92,1.03,1.78,1.57,376,307,41,11
Jan1-15,2000,B,1.33,0,0.92,1.03,1.78,1.57,376,307,41,11
Jan16-31,2000,C,5.05,0,0.92,1.03,1.78,1.57,376,307,41,11
Dec16-31,2001,A,0.14,0,1.07,1.07,0.85,0.91,402,329,35,10
Jan1-15,2001,B,2.05,0,1.07,1.07,0.85,0.91,402,329,35,10
Jan16-31,2001,C,2.33,1,1.07,1.07,0.85,0.91,402,329,35,10
Dec16-31,2002,A,5.96,1,1.06,0.95,2.26,2.7,427,313,79,27
Jan1-15,2002,B,3.87,2,1.06,0.95,2.26,2.7,427,313,79,27
Jan16-31,2002,C,0.71,0,1.06,0.95,2.26,2.7,427,313,79,27
Dec16-31,2003,A,8.09,2,1.16,1.44,0.86,0.81,495,451,68,22
Jan1-15,2003,B,2.03,0,1.16,1.44,0.86,0.81,495,451,68,22
Jan16-31,2003,C,1.12,0,1.16,1.44,0.86,0.81,495,451,68,22
Dec16-31,2004,A,5.86,2,1.3,0.85,1.43,1.32,642,384,97,29
Jan1-15,2004,B,3.7,1,1.3,0.85,1.43,1.32,642,384,97,29
Jan16-31,2004,C,0.72,0,1.3,0.85,1.43,1.32,642,384,97,29
Dec16-31,2005,A,4.75,2,1,1.08,1.55,1.03,643,413,150,30
Jan1-15,2005,B,2.92,0,1,1.08,1.55,1.03,643,413,150,30
Jan16-31,2005,C,0.8,0,1,1.08,1.55,1.03,643,413,150,30
Dec16-31,2006,A,12.63,4,1.16,0.79,0.97,0.8,746,326,145,24
Jan1-15,2006,B,4.17,2,1.16,0.79,0.97,0.8,746,326,145,24
Jan16-31,2006,C,1.97,0,1.16,0.79,0.97,0.8,746,326,145,24
Dec16-31,2007,A,3.59,2,0.99,0.78,1.59,1.04,737,253,230,25
Jan1-15,2007,B,0.22,0,0.99,0.78,1.59,1.04,737,253,230,25
Jan16-31,2007,C,0.17,0,0.99,0.78,1.59,1.04,737,253,230,25
Dec16-31,2008,A,3.56,0,0.85,1.11,0.75,0.64,629,281,172,16
Jan1-15,2008,B,5.61,3,0.85,1.11,0.75,0.64,629,281,172,16
Jan16-31,2008,C,6.62,1,0.85,1.11,0.75,0.64,629,281,172,16
Dec16-31,2009,A,3.44,1,1.19,0.59,2.7,3.69,748.16,167,465,59
Jan1-15,2009,B,0.29,0,1.19,0.59,2.7,3.69,748.16,167,465,59
Jan16-31,2009,C,0.24,0,1.19,0.59,2.7,3.69,748.16,167,465,59
Dec16-31,2010,A,1.96,0,1.13,1.42,0.82,0.61,843,237,379,36
Jan1-15,2010,B,1.35,0,1.13,1.42,0.82,0.61,843,237,379,36
Jan16-31,2010,C,11.57,5,1.13,1.42,0.82,0.61,843,237,379,36
Dec16-31,2011,A,7.34,4,0.99,0.89,1,0.89,834,212,379,32
Jan1-15,2011,B,1.28,0,0.99,0.89,1,0.89,834,212,379,32
Jan16-31,2011,C,0.64,0,0.99,0.89,1,0.89,834,212,379,32
Dec16-31,2012,A,0.24,0,1.13,1.17,0.97,1.22,944,247,368,39
Jan1-15,2012,B,0.04,0,1.13,1.17,0.97,1.22,944,247,368,39
Jan16-31,2012,C,6.56,3,1.13,1.17,0.97,1.22,944,247,368,39
Dec16-31,2013,A,7.18,3,1,1.07,0.91,0.67,942,264,335,26
Jan1-15,2013,B,0.61,0,1,1.07,0.91,0.67,942,264,335,26
Jan16-31,2013,C,0.54,0,1,1.07,0.91,0.67,942,264,335,26
